,program,i,.,var,;,variable_declaration_section*,:,types,Integer,Boolean,begin,end,:=,read,write,if,then,else,while,do,+,-,*,digit,TRUE,FALSE,>,>=,=,<=,<,$,pr,block,var_declaration_section,var_declaration_section*,var_declaration,var_declaration*,type,compound_statement,compound_statement*,statement,simple_statement,assigned_statement,read_statement,write_statement,structured_statement,if_statement,while_statement,expression,arithmetic_expression,term,factor,literal,integer_literal,integer_literal*,boolean_literal,boolean_expression
21,,,,,r23,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,r24,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,r25,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,s36,,,,,,,,,,,,,,,,,,,,,,s43,s41,s42,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,38,40,39,
27,,,,,,,,,,,,,,,,,,,,,,,,,s41,s42,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,45,44
28,,,,,,,,,,,,,,,,,,,,,,,,,s41,s42,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,45,47
29,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,r11,,r11,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,s24,,,,,,,,,s7,,,s25,s26,s27,,,s28,,,,,,,,,,,,,,,,,,,,,23,50,15,16,18,19,20,17,21,22,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,s41,s42,,,,,,,,,,,,,,,,,,,,,,,,51,52,,,,,,45,53
35,,,,,r20,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,r21,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,r22,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,r38,,,,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,r39,,,,,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,r40,,,r40,,,,,,,r40,,,,,r40,r40,,r40,r40,r40,r40,r40,,,r40,r40,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,r43,,,,,,,r43,,,,,r43,r43,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,r44,,,,,,,r44,,,,,r44,r44,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,r41,,,r41,,,,,,,r41,,,,,r41,r41,,r41,r41,r41,r41,s43,,,r41,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,54,,
44,,,,,,,,,,,,,,,,,s55,s56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,r45,,,,,,,r45,,,,,r45,r45,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,s66,,,,,,,,,,,,,,,,,,,s63,s64,,s43,,,s57,s58,s59,s60,s61,,,,,,,,,,,,,,,,,,,,,62,65,,67,40,,
47,,,,,,,,,,,,,,,,,,,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,r6,,,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,r19,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,s66,,,r29,,,,,,,r29,,,,,,,,,s63,s64,,s43,,,s57,s58,s59,s60,s61,,,,,,,,,,,,,,,,,,,,,62,65,,67,40,,
53,,,,,r30,,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,r42,,,r42,,,,,,,r42,,,,,r42,r42,,r42,r42,r42,r42,r42,,,r42,r42,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,s24,,,,,,,,,s7,,,s25,s26,s27,,,s28,,,,,,,,,,,,,,,,,,,,,23,,69,16,18,19,20,17,21,22,,,,,,,,,
56,,s24,,,,,,,,,s7,,,s25,s26,s27,,,s28,,,,,,,,,,,,,,,,,,,,,23,,70,16,18,19,20,17,21,22,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,
62,,r31,,,r31,,,,,,,r31,,,,,r31,r31,,r31,r31,r31,s76,r31,,,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,s66,,,,,,,,,,,,,,,,,,,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,65,,67,40,,
64,,s66,,,,,,,,,,,,,,,,,,,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,65,,67,40,,
65,,r34,,,r34,,,,,,,r34,,,,,r34,r34,,r34,r34,r34,r34,r34,,,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,r36,,,r36,,,,,,,r36,,,,,r36,r36,,r36,r36,r36,r36,r36,,,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,r37,,,r37,,,,,,,r37,,,,,r37,r37,,r37,r37,r37,r37,r37,,,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,s24,,,,,,,,,s7,,,s25,s26,s27,,,s28,,,,,,,,,,,,,,,,,,,,,23,,79,16,18,19,20,17,21,22,,,,,,,,,
69,,,,,r26,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,r27,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,s66,,,r47,,,,,,,r47,,,,,r47,r47,,r47,s63,s64,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,65,,67,40,,
72,,s66,,,r48,,,,,,,r48,,,,,r48,r48,,r48,s63,s64,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,65,,67,40,,
73,,s66,,,r49,,,,,,,r49,,,,,r49,r49,,r49,s63,s64,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,65,,67,40,,
74,,s66,,,r50,,,,,,,r50,,,,,r50,r50,,r50,s63,s64,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,65,,67,40,,
75,,s66,,,r51,,,,,,,r51,,,,,r51,r51,,r51,s63,s64,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,65,,67,40,,
76,,s66,,,,,,,,,,,,,,,,,,,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,67,40,,
77,,r32,,,r32,,,,,,,r32,,,,,r32,r32,,r32,r32,r32,s76,r32,,,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,r33,,,r33,,,,,,,r33,,,,,r33,r33,,r33,r33,r33,s76,r33,,,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,r28,,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,r35,,,r35,,,,,,,r35,,,,,r35,r35,,r35,r35,r35,r35,r35,,,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,
